Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,30 Sep 2019
2,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,29 Sep 2019
3,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,26 Sep 2019
4,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,25 Sep 2019
5,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,20 Sep 2019
6,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,19 Sep 2019
7,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,18 Sep 2019
8,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,17 Sep 2019
9,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1850,1800,16 Sep 2019
10,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1850,1800,15 Sep 2019
11,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1850,1800,14 Sep 2019
12,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1850,1800,13 Sep 2019
13,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1850,1800,11 Sep 2019
14,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1850,1800,10 Sep 2019
15,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1850,1800,09 Sep 2019
16,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1850,1800,08 Sep 2019
17,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1840,1800,04 Sep 2019
18,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1840,1800,03 Sep 2019
19,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1840,1800,02 Sep 2019
20,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1840,1800,01 Sep 2019
21,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1840,1800,29 Aug 2019
22,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1840,1800,28 Aug 2019
23,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1840,1800,27 Aug 2019
24,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1840,1800,26 Aug 2019
25,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1850,1800,21 Aug 2019
26,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1850,1800,20 Aug 2019
27,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1850,1800,19 Aug 2019
28,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1850,1800,18 Aug 2019
29,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,13 Aug 2019
30,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,12 Aug 2019
31,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,11 Aug 2019
32,Lucknow,Banthara,Wheat,Dara,FAQ,1700,1840,1800,10 Aug 2019
33,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1840,06 Aug 2019
34,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,05 Aug 2019
35,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,04 Aug 2019
36,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,03 Aug 2019
37,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,31 Jul 2019
38,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,30 Jul 2019
39,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,29 Jul 2019
40,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,28 Jul 2019
41,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1900,1800,26 Jul 2019
42,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,25 Jul 2019
43,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,24 Jul 2019
